,cause,cause_desc
587,M2565,"Stiffness of hip, not elsewhere classified"
588,M2581,"Other specified joint disorders, shoulder"
589,M2582,"Other specified joint disorders, elbow"
590,M6503,"Abscess of tendon sheath, forearm"
591,M7085,"Other soft tissue disorders related to use, overuse and pressure of thigh"
592,M79A3,Nontraumatic compartment syndrome of abdomen
593,M84329,"Stress fracture, unspecified humerus"
594,M8567,"Other cyst of bone, ankle and foot"
595,M8601,"Acute hematogenous osteomyelitis, shoulder"
596,M8604,"Acute hematogenous osteomyelitis, hand"
597,M8907,"Algoneurodystrophy, ankle and foot"
598,N8333,Acquired atrophy of ovary and fallopian tube
599,N8353,"Torsion of ovary, ovarian pedicle and fallopian tube"
600,O9941,Diseases of the circulatory system complicating pregnancy
601,O9973,Diseases of the skin and subcutaneous tissue complicating the puerperium
602,O9A32,Physical abuse complicating childbirth
603,P071,Other low birth weight newborn
604,Q37,Cleft palate with cleft lip
605,Q79,"Congenital malformations of musculoskeletal system, not elsewhere classified"
606,R768,Other specified abnormal immunological findings in serum
607,S00521,Blister (nonthermal) of lip
608,S064X3,Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes
609,S1012,Blister (nonthermal) of throat
610,S11025,Open bite of trachea
611,S1110,Unspecified open wound of thyroid gland
612,B008,Other forms of herpesviral infections
613,B029,Zoster without complications
614,B081,Molluscum contagiosum
615,B66,Other fluke infections
616,C16,Malignant neoplasm of stomach
617,D164,Benign neoplasm of bones of skull and face
618,D301,Benign neoplasm of renal pelvis
619,E108,Type 1 diabetes mellitus with unspecified complications
620,F1325,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder"
621,F1929,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder
622,H1123,Symblepharon
623,H1860,"Keratoconus, unspecified"
624,H409,Unspecified glaucoma
625,H6810,Unspecified obstruction of Eustachian tube
626,J454,Moderate persistent asthma
627,K71,Toxic liver disease
628,K909,"Intestinal malabsorption, unspecified"
629,L985,Mucinosis of the skin
630,M0082,"Arthritis due to other bacteria, elbow"
631,M0632,"Rheumatoid nodule, elbow"
632,M1A041,"Idiopathic chronic gout, right hand"
633,M2402,Loose body in elbow
634,M483,Traumatic spondylopathy
635,M621,Other rupture of muscle (nontraumatic)
636,M6747,"Ganglion, ankle and foot"
637,N01,Rapidly progressive nephritic syndrome
638,O01,Hydatidiform mole
639,O2402,"Pre-existing type 1 diabetes mellitus, in childbirth"
640,O8832,Pyemic and septic embolism in childbirth
641,Q95,"Balanced rearrangements and structural markers, not elsewhere classified"
642,R944,Abnormal results of kidney function studies
643,S0030,Unspecified superficial injury of nose
644,S01141,Puncture wound with foreign body of right eyelid and periocular area
645,B975,Reovirus as the cause of diseases classified elsewhere
646,C05,Malignant neoplasm of palate
647,C820,Follicular lymphoma grade I
648,D225,Melanocytic nevi of trunk
649,D350,Benign neoplasm of adrenal gland
650,D573,Sickle-cell trait
651,D684,Acquired coagulation factor deficiency
652,E889,"Metabolic disorder, unspecified"
653,F4029,Other specified phobia
654,F78,Other intellectual disabilities
655,H1801,Anterior corneal pigmentations
656,H3111,Age-related choroidal atrophy
657,H40122,"Low-tension glaucoma, left eye"
658,H445,Degenerated conditions of globe
659,H721,Attic perforation of tympanic membrane
660,I098,Other specified rheumatic heart diseases
661,I7055,Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration
662,J010,Acute maxillary sinusitis
663,J153,"Pneumonia due to streptococcus, group B"
664,K0849,Partial loss of teeth due to other specified cause
665,K085,Unsatisfactory restoration of tooth
666,K290,Acute gastritis
667,K83,Other diseases of biliary tract
668,L68,Hypertrichosis
669,M1A232,"Drug-induced chronic gout, left wrist"
670,M1001,"Idiopathic gout, shoulder"
671,M101,Lead-induced gout
672,M1219,"Kaschin-Beck disease, multiple sites"
673,M1284,"Other specific arthropathies, not elsewhere classified, hand"
674,M2428,"Disorder of ligament, vertebrae"
675,M6204,"Separation of muscle (nontraumatic), hand"
676,M6582,"Other synovitis and tenosynovitis, upper arm"
677,M84441,"Pathological fracture, right hand"
678,M84479,"Pathological fracture, unspecified toe(s)"
679,M84759,"Complete oblique atypical femoral fracture, unspecified leg"
680,M863,Chronic multifocal osteomyelitis
681,N368,Other specified disorders of urethra
682,O2687,Cervical shortening
683,O36512,"Maternal care for known or suspected placental insufficiency, second trimester"
684,O9212,Cracked nipple associated with the puerperium
685,P76,Other intestinal obstruction of newborn
686,Q06,Other congenital malformations of spinal cord
687,Q7289,Other reduction defects of lower limb
688,S0470,"Injury of accessory nerve, unspecified side"
689,S06303,Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes
690,S06314,Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours
691,S08119,Complete traumatic amputation of unspecified ear
692,A79,Other rickettsioses
693,B179,"Acute viral hepatitis, unspecified"
694,B573,Chagas' disease (chronic) with digestive system involvement
695,C449,"Other and unspecified malignant neoplasm of skin, unspecified"
696,C621,Malignant neoplasm of descended testis
697,D3A8,Other benign neuroendocrine tumors
698,G213,Postencephalitic parkinsonism
699,G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
700,H1862,"Keratoconus, unstable"
701,H6813,Extrinsic cartilagenous obstruction of Eustachian tube
702,I608,Other nontraumatic subarachnoid hemorrhage
703,I8251,Chronic embolism and thrombosis of femoral vein
704,J8489,Other specified interstitial pulmonary diseases
705,K12,Stomatitis and related lesions
706,K82,Other diseases of gallbladder
707,M2193,Unspecified acquired deformity of forearm
708,M6723,"Synovial hypertrophy, not elsewhere classified, forearm"
709,M8557,"Aneurysmal bone cyst, ankle and foot"
710,M8561,"Other cyst of bone, shoulder"
711,M8924,"Other disorders of bone development and growth, hand"
712,M9383,Other specified osteochondropathies of forearm
713,M9392,"Osteochondropathy, unspecified of upper arm"
714,M9665,"Fracture of pelvis following insertion of orthopedic implant, joint prosthesis, or bone plate"
715,O265,Maternal hypotension syndrome
716,O3021,Quadruplet pregnancy with two or more monochorionic fetuses
717,O9913,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating the puerperium
718,O9A11,Malignant neoplasm complicating pregnancy
719,S00439,Contusion of unspecified ear
720,S00532,Contusion of oral cavity
721,A415,Sepsis due to other Gram-negative organisms
722,A568,Sexually transmitted chlamydial infection of other sites
723,B50,Plasmodium falciparum malaria
724,C723,Malignant neoplasm of optic nerve
725,C729,"Malignant neoplasm of central nervous system, unspecified"
726,E0937,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment"
727,E7629,Other mucopolysaccharidoses
728,G4080,Other epilepsy
729,H0457,Stenosis of lacrimal sac
730,H28,Cataract in diseases classified elsewhere
731,I451,Other and unspecified right bundle-branch block
732,I77,Other disorders of arteries and arterioles
733,I8739,Chronic venous hypertension (idiopathic) with other complications
734,K0521,"Aggressive periodontitis, localized"
735,K868,Other specified diseases of pancreas
736,L239,"Allergic contact dermatitis, unspecified cause"
737,M1A132,"Lead-induced chronic gout, left wrist"
738,M2153,Acquired clawfoot
739,M80032,"Age-related osteoporosis with current pathological fracture, left forearm"
740,M84632,"Pathological fracture in other disease, left ulna"
741,M84754,"Complete transverse atypical femoral fracture, right leg"
742,M9085,"Osteopathy in diseases classified elsewhere, thigh"
743,N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
744,N3502,"Post-traumatic urethral stricture, female"
745,O28,Abnormal findings on antenatal screening of mother
746,O445,Low lying placenta with hemorrhage
747,O6023,"Term delivery with preterm labor, third trimester"
748,Q795,Other congenital malformations of abdominal wall
749,Q81,Epidermolysis bullosa
750,S00561,Insect bite (nonvenomous) of lip
751,S06364,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours"
752,S1087,Other superficial bite of other specified part of neck
753,S11013,Puncture wound without foreign body of larynx
754,S1182,Laceration with foreign body of other specified part of neck
755,A09,"Infectious gastroenteritis and colitis, unspecified"
756,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
757,B009,"Herpesviral infection, unspecified"
758,B958,Unspecified staphylococcus as the cause of diseases classified elsewhere
759,C499,"Malignant neoplasm of connective and soft tissue, unspecified"
760,E0869,Diabetes mellitus due to underlying condition with other specified complication
761,E095,Drug or chemical induced diabetes mellitus with circulatory complications
762,E1037,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment"
763,E28,Ovarian dysfunction
764,E662,Morbid (severe) obesity with alveolar hypoventilation
765,F1919,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder
766,G89,"Pain, not elsewhere classified"
767,G952,Other and unspecified cord compression
768,H0001,Hordeolum externum
769,H001,Chalazion
770,H3109,Other chorioretinal scars
771,H6031,Diffuse otitis externa
772,I631,Cerebral infarction due to embolism of precerebral arteries
773,I6353,Cerebral infarction due to unspecified occlusion or stenosis of posterior cerebral artery
774,K552,Angiodysplasia of colon
775,L405,Arthropathic psoriasis
776,L723,Sebaceous cyst
777,L9841,Non-pressure chronic ulcer of buttock
778,M0225,"Postimmunization arthropathy, hip"
779,M1387,"Other specified arthritis, ankle and foot"
780,M1921,"Secondary osteoarthritis, shoulder"
781,M2320,Derangement of unspecified meniscus due to old tear or injury
782,M4020,Unspecified kyphosis
783,M602,"Foreign body granuloma of soft tissue, not elsewhere classified"
784,M7154,"Other bursitis, not elsewhere classified, hand"
785,M84755,"Complete transverse atypical femoral fracture, left leg"
786,M8932,"Hypertrophy of bone, humerus"
787,M9325,Osteochondritis dissecans of hip
788,M979,Periprosthetic fracture around unspecified internal prosthetic joint
789,M995,Intervertebral disc stenosis of neural canal
790,N812,Incomplete uterovaginal prolapse
791,N819,"Female genital prolapse, unspecified"
792,O091,Supervision of pregnancy with history of ectopic pregnancy
793,O33,Maternal care for disproportion
794,O9103,Infection of nipple associated with lactation
795,S0280,"Fracture of other specified skull and facial bones, unspecified side"
796,S0462,"Injury of acoustic nerve, left side"
797,S06361,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less"
798,B060,Rubella with neurological complications
799,B083,Erythema infectiosum [fifth disease]
800,C4A3,Merkel cell carcinoma of other and unspecified parts of face
801,D5741,Sickle-cell thalassemia with crisis
802,E1165,Type 2 diabetes mellitus with hyperglycemia
803,E7131,Disorders of fatty-acid oxidation
804,F1323,"Sedative, hypnotic or anxiolytic dependence with withdrawal"
805,F1599,"Other stimulant use, unspecified with unspecified stimulant-induced disorder"
806,F66,Other sexual disorders
807,G45,Transient cerebral ischemic attacks and related syndromes
808,H0220,Unspecified lagophthalmos
809,H1101,Amyloid pterygium
810,H170,Adherent leukoma
811,H1872,Corneal staphyloma
812,H3331,Horseshoe tear of retina without detachment
813,H3504,"Retinal micro-aneurysms, unspecified"
814,H4003,Anatomical narrow angle
815,H4382,Vitreomacular adhesion
816,H5016,Alternating exotropia with A pattern
817,I5081,Right heart failure
818,I5082,Biventricular heart failure
819,I749,Embolism and thrombosis of unspecified artery
820,K08,Other disorders of teeth and supporting structures
821,K229,"Disease of esophagus, unspecified"
822,K712,Toxic liver disease with acute hepatitis
823,L83,Acanthosis nigricans
824,L899,Pressure ulcer of unspecified site
825,M0768,"Enteropathic arthropathies, vertebrae"
826,M1A312,"Chronic gout due to renal impairment, left shoulder"
827,M1027,"Drug-induced gout, ankle and foot"
828,M2112,"Varus deformity, not elsewhere classified, elbow"
829,M353,Polymyalgia rheumatica
830,M418,Other forms of scoliosis
